Hour	Minute	Time	Presenter	Title
0	0	15:30	Kaiya Provost	Genetic and behavioral divergence among Northern Cardinal populations: Testing the permeability of a biogeographic barrier
0	5	15:35	Benjamin Blanchard	Defensive traits exhibit an evolutionary trade-off and drive diversification in ants
0	10	15:40	April Wright	Fossilized birth-death dating in Formicidae
0	15	15:45	Sebastian Hoehna	Placenta type is driving mammalian diversification
0	20	15:50	Kayce Bell	A phylogenomic perspective on chipmunk and louse diversification
0	25	15:55	Matthew Van Dam	"Unraveling a radiation of weevils using UCEs (examining host use, biogeography and diversification)"
0	30	16:00	Lesley Kim	Diversification of the G2 clade (Teleostei: Gymnotiformes)
0	35	16:05	Javier Igea	Seed size and its rate of evolution correlate with species diversification across angiosperms
0	40	16:10	Jamie Oaks	Ecoevolity: Estimating evolutionary coevality
0	45	16:15	Randy Klabacka	Speciation or isolated diversification: The hidden variation of Draco maculatus
0	50	16:20	Emily Ellis	High rates of species accumulation in animals with bioluminescent courtship displays
0	55	16:25	Lyndon Coghill	The shifting sands of site rates: can the covarian model improve phylogenomic analyses?
1	0	16:30	Cathy Newman	Dynamic evolutionary history of genome size in North American woodland salamanders
1	5	16:35	Andrew Swafford	The origin and tempo of opsin family evolution
1	10	16:40	Akanksha Pandey	Implications of protein structure based partitioning on phylogenetics inference
1	15	16:45	Alexandra Hernandez	Why are alien genes predominantly enzymes? Insights from ctenophores
1	20	16:50	Breanna Sipley	Evolution of Venom Allergen-Like Proteins in Fish Blood Flukes (Platyhelminthes: Trematoda)
1	25	16:55	William Booker	The tetraploid origins of Hyla versicolor: laying the groundwork for a new model system in polyploid investigation
