Hour	Minute	Time	Presenter	Title
0	0	11:00	Ariadna Morales	Species delimitation with gene flow in Myotis lucifugus bats
0	5	11:05	Lukas Musher	How priors and methods affect species delimitation in a genus Neotropical birds (Pachyramphus)
0	10	11:10	Sarah Jacobs	Dealing with incongruence when delimiting species
0	15	11:15	Robb Brumfield	What is a bird species? A perspective from someone who loathes species concepts
0	20	11:20	Ryan Folk	Historical range dynamics drove hybridization in a lineage of angiosperms
0	25	11:25	Laura Frost	Biogeography of Neotropical plant genus Citharexylum (Verbenaceae)
0	30	11:30	Nelson Salinas	Statistical modeling of areas of endemism: a Markov random field approach
0	35	11:35	Glaucia Del-Rio	Amazonian river headwaters as contact zones for birds
0	40	11:40	Bryan Carstens	Big Data for Phylogeography
0	45	11:45	Ben Peter	"Trees, admixture and F-statistics"
0	50	11:50	Megan Ruffley	Phylogeographic model adequacy in Alnus rubra
0	55	11:55	Elijah Wostl	Philautus of the Sunda Shelf
				
				
				
				
				
				
